item-app  | 
item-db   | 2025-04-29T09:47:55.141+0000 I CONTROL  [initandlisten]     target_arch: x86_64
item-db   | 2025-04-29T09:47:55.141+0000 I CONTROL  [initandlisten] options: { net: { bindIpAll: true } }
item-db   | 2025-04-29T09:47:55.142+0000 I -        [initandlisten] Detected data files in /data/db created by the 'wiredTiger' storage engine, so setting the active storage engine to 'wiredTiger'.
item-db   | 2025-04-29T09:47:55.142+0000 I STORAGE  [initandlisten] 
item-db   | 2025-04-29T09:47:55.142+0000 I STORAGE  [initandlisten] ** WARNING: Using the XFS filesystem is strongly recommended with the WiredTiger storage engine
item-db   | 2025-04-29T09:47:55.143+0000 I STORAGE  [initandlisten] **          See http://dochub.mongodb.org/core/prodnotes-filesystem
item-db   | 2025-04-29T09:47:55.143+0000 I STORAGE  [initandlisten] wiredtiger_open config: create,cache_size=2919M,cache_overflow=(file_max=0M),session_max=20000,eviction=(threads_min=4,threads_max=4),config_base=false,statistics=(fast),compatibility=(release="3.0",require_max="3.0"),log=(enabled=true,archive=true,path=journal,compressor=snappy),file_manager=(close_idle_time=100000),statistics_log=(wait=0),verbose=(recovery_progress),
item-db   | 2025-04-29T09:47:56.051+0000 I STORAGE  [initandlisten] WiredTiger message [1745920076:51115][1:0x7f68d2fdea40], txn-recover: Main recovery loop: starting at 2/7936
item-db   | 2025-04-29T09:47:56.126+0000 I STORAGE  [initandlisten] WiredTiger message [1745920076:126269][1:0x7f68d2fdea40], txn-recover: Recovering log 2 through 3
item-db   | 2025-04-29T09:47:56.181+0000 I STORAGE  [initandlisten] WiredTiger message [1745920076:181233][1:0x7f68d2fdea40], txn-recover: Recovering log 3 through 3
item-db   | 2025-04-29T09:47:56.212+0000 I STORAGE  [initandlisten] WiredTiger message [1745920076:212960][1:0x7f68d2fdea40], txn-recover: Set global recovery timestamp: 0
item-db   | 2025-04-29T09:47:56.240+0000 I CONTROL  [initandlisten] 
item-db   | 2025-04-29T09:47:56.240+0000 I CONTROL  [initandlisten] ** WARNING: Access control is not enabled for the database.
item-db   | 2025-04-29T09:47:56.240+0000 I CONTROL  [initandlisten] **          Read and write access to data and configuration is unrestricted.
item-db   | 2025-04-29T09:47:56.240+0000 I CONTROL  [initandlisten] 
item-db   | 2025-04-29T09:47:56.240+0000 I CONTROL  [initandlisten] 
item-db   | 2025-04-29T09:47:56.240+0000 I CONTROL  [initandlisten] ** WARNING: /sys/kernel/mm/transparent_hugepage/enabled is 'always'.
item-db   | 2025-04-29T09:47:56.240+0000 I CONTROL  [initandlisten] **        We suggest setting it to 'never'
item-db   | 2025-04-29T09:47:56.240+0000 I CONTROL  [initandlisten] 
item-db   | 2025-04-29T09:47:56.246+0000 I FTDC     [initandlisten] Initializing full-time diagnostic data capture with directory '/data/db/diagnostic.data'
item-db   | 2025-04-29T09:47:56.248+0000 I NETWORK  [initandlisten] listening via socket bound to 0.0.0.0
item-db   | 2025-04-29T09:47:56.249+0000 I NETWORK  [initandlisten] listening via socket bound to /tmp/mongodb-27017.sock
item-db   | 2025-04-29T09:47:56.249+0000 I NETWORK  [initandlisten] waiting for connections on port 27017
item-db   | 2025-04-29T09:47:57.285+0000 I NETWORK  [listener] connection accepted from 172.20.0.3:46646 #1 (1 connection now open)
item-db   | 2025-04-29T09:47:57.290+0000 I NETWORK  [conn1] received client metadata from 172.20.0.3:46646 conn1: { driver: { name: "nodejs", version: "2.2.36" }, os: { type: "Linux", name: "linux", architecture: "x64", version: "5.15.167.4-microsoft-standard-WSL2" }, platform: "Node.js v14.21.3, LE, mongodb-core: 2.1.20" }
